"image","xmin","ymin","xmax","ymax","label"
"bdcbcf6d0c9574cbb696a6dafe9e5506.jpg",42.943722943722946,167.34199134199133,242.978354978355,324.7099567099567,"Mask"
"bdc76a77681a5f14c92dda646e7c02f3.jpg",158.1991341991342,211.11688311688312,352.13852813852816,355.1861471861472,"Mask"
"bdf8971e4848d9ef6e58e7d8ea8abe31.jpg",120.51948051948052,170.1125541125541,434.7012987012987,393.97402597402595,"Mask"
"bde69875d1a39d9445dfae022b9663ca.jpg",166.51082251082252,133.54112554112555,250.73593073593076,212.22510822510822,"Mask"
"bde69875d1a39d9445dfae022b9663ca.jpg",272.9004329004329,194.4935064935065,334.4069264069264,242.14718614718615,"Mask"
"be20742e3a2bfd424a9d13c7da443761.jpg",119.41125541125541,216.65800865800867,254.06060606060606,321.3852813852814,"Mask"
"be2ffc7a928a87505b6c9369c41aeb0d.jpg",98.35497835497836,172.32900432900433,403.1168831168831,401.1774891774892,"Mask"
"be749710d41fc40deb0408a3c4d9dbd1.jpg",123.84415584415585,203.91341991341992,210.28571428571428,285.3679653679654,"Mask"
"be749710d41fc40deb0408a3c4d9dbd1.jpg",403.6709956709957,212.22510822510822,466.83982683982686,284.8138528138528,"Mask"
"be3a0c7ced6d5b7715efac66719f96fc.jpg",83.39393939393939,190.6147186147186,232.45021645021643,335.23809523809524,"Mask"
"be634cfdc7616031cfe64a7616f26763.jpg",376.5194805194805,223.86147186147187,429.7142857142857,268.7445887445888,"Mask"
"be634cfdc7616031cfe64a7616f26763.jpg",298.38961038961037,182.85714285714286,343.27272727272725,230.51082251082252,"Mask"
"be634cfdc7616031cfe64a7616f26763.jpg",189.22943722943722,182.3030303030303,226.9090909090909,217.21212121212122,"Mask"
"be38b0d45fc08cc5fdbf8af54e3247f0.jpg",48.484848484848484,162.9090909090909,150.44155844155844,251.56709956709955,"Mask"
"be38b0d45fc08cc5fdbf8af54e3247f0.jpg",194.77056277056278,167.8961038961039,310.5800865800866,262.0952380952381,"Mask"
"be38b0d45fc08cc5fdbf8af54e3247f0.jpg",387.6017316017316,171.2207792207792,491.7748917748918,246.025974025974,"Mask"
"bea66e020f968dfd5d9af3c701904db9.jpg",137.14285714285714,282.04329004329,380.95238095238096,496.4848484848485,"Mask"
"be95f7a96b5ccd6db9af75fddee4c027.jpg",167.06493506493507,226.07792207792207,336.0692640692641,352.4155844155844,"Mask"
"be89c177987fb78f7ca01a14da65d15d.jpg",205.2987012987013,222.75324675324674,294.51082251082255,308.64069264069263,"Mask"
"bedc4f7dab6727a39e0e05c983fcff16.jpg",79.51515151515152,218.32034632034632,295.06493506493507,439.96536796536793,"Mask"
"bf0ab48353a9d7117e567c41fdab9445.jpg",111.65367965367966,236.05194805194805,392.5887445887446,442.1818181818182,"Mask"
"bf1ba7e68d48bcbf63573886dd0a1e7d.jpg",185.35064935064935,135.75757575757575,248.5194805194805,181.74891774891773,"Mask"
"bf0eafba4cffe3766b8b4bccfa0063c5.jpg",154.32034632034632,223.30735930735932,329.97402597402595,350.7532467532468,"Mask"
"bf28bcc6d45c1a529c7e753f02362d88.jpg",176.4848484848485,191.7229437229437,365.43722943722946,359.6190476190476,"Mask"
"bf474a2f688b57650ccffeccddfbcfa8.jpg",274.56277056277054,233.28138528138527,467.3939393939394,386.2164502164502,"Mask"
"bf514b2b2d83ffe433d31019b47a7c93.jpg",83.94805194805195,184.5194805194805,313.35064935064935,385.6623376623377,"Mask"
"bf680c54b4f8f3f800d997324136414a.jpg",105.55844155844156,171.77489177489178,291.1861471861472,363.49783549783547,"Mask"
